anio_analisis,sector_caes,condicion_formalidad,n,prop
2017,Servicio domestico,Informal,627437,73.4
2017,Construccion,Informal,416619,66.3
2017,Comercio,Informal,489610,42.4
2017,Hoteles y restaurantes,Informal,141552,40.9
2017,"Otros servicios comunitarios, sociales y personales",Informal,142460,39.9
2017,"Transporte, almacenamiento y comunicaciones",Informal,210340,34.5
2017,Actividades primarias,Informal,26149,28.8
2017,Industria manufacturera,Informal,286185,28.8
2017,"Servicios financieros, de alquiler y empresariales",Informal,194266,23.2
2017,Servicios sociales y de salud,Informal,106179,18.3
2017,Actividades no bien especificadas,Informal,22930,14.2
2017,"Administracion publica, defensa y seguridad social",Informal,89467,9.4
2017,Otras ramas,Informal,3765,7.2
2017,Ensenanza,Informal,60918,7
2021,Servicio domestico,Informal,598271,75.5
2021,Construccion,Informal,330250,68.5
2021,Hoteles y restaurantes,Informal,134282,50.9
2021,"Otros servicios comunitarios, sociales y personales",Informal,184567,48.2
2021,Comercio,Informal,438665,38.9
2021,Actividades primarias,Informal,31483,35.1
2021,"Transporte, almacenamiento y comunicaciones",Informal,201544,30.8
2021,Industria manufacturera,Informal,245385,28
2021,Servicios sociales y de salud,Informal,168827,24.4
2021,"Servicios financieros, de alquiler y empresariales",Informal,204371,23.9
2021,Actividades no bien especificadas,Informal,32763,16.4
2021,"Administracion publica, defensa y seguridad social",Informal,142911,11.3
2021,Otras ramas,Informal,5381,6.4
2021,Ensenanza,Informal,55939,6.1
2025,Servicio domestico,Informal,640857,80.5
2025,Construccion,Informal,402323,65
2025,Hoteles y restaurantes,Informal,210143,53
2025,"Otros servicios comunitarios, sociales y personales",Informal,188393,50.9
2025,Comercio,Informal,640244,44.5
2025,"Transporte, almacenamiento y comunicaciones",Informal,356344,37.8
2025,Industria manufacturera,Informal,352728,34.3
2025,Actividades primarias,Informal,29675,28.7
2025,Servicios sociales y de salud,Informal,202792,27.2
2025,"Servicios financieros, de alquiler y empresariales",Informal,247038,24.9
2025,Actividades no bien especificadas,Informal,27290,23.7
2025,Otras ramas,Informal,9227,14.7
2025,Ensenanza,Informal,87797,8.9
2025,"Administracion publica, defensa y seguridad social",Informal,67681,6.7
